# LENNARD JONES FLUID EQUATIONS OF STATE
# U(r) = 4*epsilon((sigma/r)^12-(sigma/r)^6) - U(rcut)
# cutoff of the potential #rcut=2.5*sigma	
# UNITS: sigma =1, epsilon=1.0 , 
# dimensional quanitites = nondimensional*units
# TEMPERATURE = TEMP*epsilon/k_B
# Density = DENS*sigma^-3
# energy = ENER*epsilon
# pressure = PRES*(epsilon/sigma^3)
# ENERGY_TOTAL = 1.5*TEMP+EXCESS_ENERGY
# PRESSURE_TOTAL = DENS*TEMP+EXCESS_PRESSURE
#	DENS	      TEMP            EXCESS_ENERGY  EXCESS_PRESSURE
	0.100000        1.300000       -0.786604       -0.028308
        0.188889        1.300000       -1.441956       -0.087470
        0.277778        1.300000       -2.026193       -0.154965
        0.366667        1.300000       -2.542881       -0.211531
        0.455556        1.300000       -3.031578       -0.238427
        0.544444        1.300000       -3.534010       -0.178949
        0.633333        1.300000       -4.055449        0.104685
        0.722222        1.300000       -4.559224        0.833082
        0.811111        1.300000       -4.988417        2.291188
        0.900000        1.300000       -5.282570        4.884061

        0.100000        1.600000       -0.716732       -0.020197
        0.188889        1.600000       -1.317690       -0.059149
        0.277778        1.600000       -1.874499       -0.096163
        0.366667        1.600000       -2.393244       -0.106167
        0.455556        1.600000       -2.897083       -0.052114
        0.544444        1.600000       -3.405193        0.142860
        0.633333        1.600000       -3.910736        0.623834
        0.722222        1.600000       -4.379319        1.607853
        0.811111        1.600000       -4.760701        3.382679
        0.900000        1.600000       -4.997567        6.359248

        0.100000        1.900000       -0.673604       -0.013111
        0.188889        1.900000       -1.242492       -0.033379
        0.277778        1.900000       -1.781042       -0.039133
        0.366667        1.900000       -2.294372        0.000548
        0.455556        1.900000       -2.795373        0.135522
        0.544444        1.900000       -3.291146        0.456567
        0.633333        1.900000       -3.769117        1.116190
        0.722222        1.900000       -4.196528        2.333688
        0.811111        1.900000       -4.528033        4.401349
        0.900000        1.900000       -4.709290        7.731742

        0.100000        2.200000       -0.642987       -0.006573
        0.188889        2.200000       -1.189154       -0.009026
        0.277778        2.200000       -1.712504        0.016378
        0.366667        2.200000       -2.216326        0.105945
        0.455556        2.200000       -2.706692        0.319375
        0.544444        2.200000       -3.183119        0.758188
        0.633333        2.200000       -3.629386        1.582290
        0.722222        2.200000       -4.013845        3.015839
        0.811111        2.200000       -4.294359        5.356907
        0.900000        2.200000       -4.418953        9.019911

        0.100000        2.500000       -0.619113       -0.000383
        0.188889        2.500000       -1.147193        0.014366
        0.277778        2.500000       -1.656688        0.070486
        0.366667        2.500000       -2.148956        0.209188
        0.455556        2.500000       -2.625160        0.498163
        0.544444        2.500000       -3.079609        1.047771
        0.633333        2.500000       -3.493571        2.025096
        0.722222        2.500000       -3.835825        3.660257
        0.811111        2.500000       -4.066096        6.257698
        0.900000        2.500000       -4.134236       10.234916

        0.100000        2.800000       -0.599275        0.005562
        0.188889        2.800000       -1.111900        0.037030
        0.277778        2.800000       -1.608299        0.123316
        0.366667        2.800000       -2.088059        0.310122
        0.455556        2.800000       -2.548610        0.671872
        0.544444        2.800000       -2.980506        1.326483
        0.633333        2.800000       -3.362950        2.447826
        0.722222        2.800000       -3.664821        4.272398
        0.811111        2.800000       -3.846757        7.111372
        0.900000        2.800000       -3.860305       11.386248

        0.100000        3.100000       -0.582061        0.011318
        0.188889        3.100000       -1.080903        0.059107
        0.277778        3.100000       -1.564778        0.175000
        0.366667        3.100000       -2.031682        0.408829
        0.455556        3.100000       -2.476165        0.840883
        0.544444        3.100000       -2.885792        1.595701
        0.633333        3.100000       -3.238217        2.853533
        0.722222        3.100000       -3.501993        4.857269
        0.811111        3.100000       -3.638309        7.924896
        0.900000        3.100000       -3.599602       12.482603

        0.100000        3.400000       -0.566665        0.016925
        0.188889        3.400000       -1.052878        0.080694
        0.277778        3.400000       -1.524716        0.225659
        0.366667        3.400000       -1.978777        0.505491
        0.455556        3.400000       -2.407258        1.005688
        0.544444        3.400000       -2.795388        1.856719
        0.633333        3.400000       -3.119455        3.244777
        0.722222        3.400000       -3.347552        5.419019
        0.811111        3.400000       -3.441082        8.704201
        0.900000        3.400000       -3.352981       13.531527

        0.100000        3.700000       -0.552600        0.022407
        0.188889        3.700000       -1.027047        0.101859
        0.277778        3.700000       -1.487288        0.275398
        0.366667        3.700000       -1.928685        0.600291
        0.455556        3.700000       -2.341516        1.166755
        0.544444        3.700000       -2.709118        2.110610
        0.633333        3.700000       -3.006525        3.623651
        0.722222        3.700000       -3.201299        5.961080
        0.811111        3.700000       -3.254831        9.454166
        0.900000        3.700000       -3.120308       14.539457

        0.100000        4.000000       -0.539552        0.027783
        0.188889        4.000000       -1.002903        0.122656
        0.277778        4.000000       -1.451951        0.324312
        0.366667        4.000000       -1.880983        0.693416
        0.455556        4.000000       -2.278658        1.324500
        0.544444        4.000000       -2.626726        2.358323
        0.633333        4.000000       -2.899091        3.991918
        0.722222        4.000000       -3.062828        6.486259
        0.811111        4.000000       -3.079013       10.178978
        0.900000        4.000000       -2.900944       15.511965

